EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5586491,LAMAR CO.,SUMRALL,01/15/1997,1649,Tornado, ,F1,0,2,100000,0,MS,CST, ,2057861,C,73,JAN,0,0, , ,7,80,9,S,4,NW,OAK GROVE,31.28,-89.55,31.32,-89.47,"","Six houses were damaged by this tornado. One grocery store had major damage. Two people inside the grocery store had minor injuries. One mobile home was destroyed. Three cars were blown off of Highway 98. Numerous trees were blown down.",1
5588086,PEARL RIVER CO.,POPLARVILLE,01/15/1997,1730,Tornado, ,F1,0,0,0,0,MS,CST, ,2058854,C,109,LIX,0,0, , ,.1,10,6,NE,6,NE,POPLARVILLE,30.90,-89.47,30.90,-89.47,"","The Office of Emergency Preparedness reported that a tin roof was blown off a house on Ott Davis Road. Downed power lines caused a house fire. A large tree was uprooted and a short swath of pine trees were snapped off.",2
5588703,CALHOUN CO.,BANNER,01/24/1997,1820,Tornado, ,F0,0,0,10,0,MS,CST, ,2058333,C,13,MEG,0,0, , ,.1,10,3,NE,3,NE,BANNER,34.13,-89.37,34.13,-89.37,"","A tornado briefly touched down in a open field with little damage reported.",3
5586513,MONTGOMERY CO.,DUCK HILL,01/27/1997,2125,Tornado, ,F0,0,0,0,0,MS,CST, ,2057883,C,97,JAN,0,0, , ,1,40, , , , ,DUCK HILL,33.63,-89.72,33.63,-89.72,"","This weak tornado was sighted by a spotter. It touched down briefly and moved through an open area where no damaged occurred.",4
5591531,SCOTT CO.,LILLIAN,02/21/1997,355,Tornado, ,F2,0,1,150000,0,MS,CST, ,2058770,C,123,JAN,0,0, , ,5,200,2,NNW,6,NNE,LILLIAN,32.52,-89.57,32.57,-89.52,"","The tornado touched down 2 miles southwest of the Midway community. As the tornado tracked northeast through the community of Midway, it destroyed three mobile homes and caused significant roof damage to two residences. In addition the Midway Community Center was nearly totally destroyed. Just to the northeast of Midway the tornado uprooted or snapped off 75 to 100 trees and a house was significantly damaged. Another older house was totally destroyed. The tornado continued to move northeast and it lifted in the town of Walnut Grove. Damage in Walnut Grove consisted of several houses having some roof damage and several large trees being uprooted. Just southwest of Walnut Grove, six chicken houses were destroyed. One injury was reported in the Midway community.",5
5591532,LEAKE CO.,WALNUT GROVE,02/21/1997,410,Tornado, ,F2,0,0,1500000,0,MS,CST, ,2058770,C,79,JAN,0,0, , ,1,200,1,SW, , ,WALNUT GROVE,32.57,-89.48,32.58,-89.47,"","The tornado touched down 2 miles southwest of the Midway community. As the tornado tracked northeast through the community of Midway, it destroyed three mobile homes and caused significant roof damage to two residences. In addition the Midway Community Center was nearly totally destroyed. Just to the northeast of Midway the tornado uprooted or snapped off 75 to 100 trees and a house was significantly damaged. Another older house was totally destroyed. The tornado continued to move northeast and it lifted in the town of Walnut Grove. Damage in Walnut Grove consisted of several houses having some roof damage and several large trees being uprooted. Just southwest of Walnut Grove, six chicken houses were destroyed. One injury was reported in the Midway community.",6
5591545,HINDS CO.,BROWNSVILLE,02/28/1997,1630,Tornado, ,F0,0,0,2000,0,MS,CST, ,2058782,C,49,JAN,0,0, , ,1,40, , , , ,BROWNSVILLE,32.45,-90.43,32.45,-90.43,"This weak tornado blew down a couple of trees.","This weak tornado blew down a couple of trees.",7
5591546,MADISON CO.,FLORA,02/28/1997,1640,Tornado, ,F0,0,0,2000,0,MS,CST, ,2058783,C,89,JAN,0,0, , ,2,40,4,SW,3,WSW,FLORA,32.52,-90.37,32.53,-90.37,"","Several trees were blown down..",8
5591547,MADISON CO.,FLORA,02/28/1997,1655,Tornado, ,F0,0,0,0,0,MS,CST, ,2058784,C,89,JAN,0,0, , ,1,40,3,N,4,NNE,FLORA,32.60,-90.32,32.60,-90.28,"","This tornado was sighted by spotters and the only visible damage was one tree blown down.",9
5591548,YAZOO CO.,SCOTLAND FORK,02/28/1997,1715,Tornado, ,F0,0,0,2000,0,MS,CST, ,2058785,C,163,JAN,0,0, , ,2,40,2,W,2,NNW,SCOTLAND FORK,32.72,-90.27,32.75,-90.25,"","A local television station filmed this weak tornado. The tornado blew down several trees.",10
